;No;;;Tanggal;;;PM10;;;SO2;;;CO;;;O3;;;NO2;;;Output;;
269;;;26/09/2014;;;108,38;;;30,21;;;0,73;;;35,28;;;12,58;;;;S;;
270;;;27/09/2014;;;78,81;;;29,17;;;0,47;;;35,54;;;13,3;;;;S;;
271;;;28/09/2014;;;93,58;;;28,71;;;0,55;;;35,39;;;11,26;;;-;;;
272;;;29/09/2014;;;100,54;;;27,64;;;0,55;;;37,92;;;12,06;;;;S;;
273;;;30/09/2014;;;58,16;;;28,73;;;0,65;;;21,89;;;10,59;;;;S;;
274;;;10/01/2014;;;74,04;;;30,05;;;0,58;;;32,86;;;12,23;;;;S;;
275;;;10/02/2014;;;85,94;;;29,57;;;0,55;;;29,33;;;12,25;;;;S;;
276;;;10/03/2014;;;82,25;;;30,29;;;0,53;;;34,18;;;11,91;;;;S;;
277;;;10/04/2014;;;42,29;;;29,12;;;0,45;;;22,05;;;9,71;;;;B;;
278;;;10/05/2014;;;---;;;---;;;---;;;---;;;---;;;-;;;
279;;;10/06/2014;;;75,08;;;30,47;;;---;;;42,08;;;13,36;;;-;;;
280;;;10/07/2014;;;121,75;;;28,24;;;---;;;29,79;;;13,42;;;;S;;
281;;;10/08/2014;;;114,43;;;29,01;;;---;;;27,41;;;14,79;;;;S;;
282;;;10/09/2014;;;160,45;;;31,36;;;0,96;;;40,71;;;14,86;;;;TS;;
283;;;10/10/2014;;;164,6;;;31,08;;;0,77;;;35,73;;;14,9;;;;TS;;
284;;;10/11/2014;;;358,49;;;31,17;;;1,4;;;31,42;;;14,35;;;;TS;;
285;;;10/12/2014;;;184,23;;;31,32;;;0,83;;;30,55;;;15,81;;;;TS;;
286;;;13/10/2014;;;93,49;;;30,23;;;0,63;;;46,77;;;14,37;;;;S;;
287;;;14/10/2014;;;55,48;;;31,11;;;0,61;;;30,57;;;13;;;;S;;
288;;;15/10/2014;;;30,47;;;29,08;;;0,47;;;27,15;;;11,72;;;;B;;
289;;;16/10/2014;;;37,78;;;29,92;;;0,37;;;42,8;;;10,42;;;;B;;
290;;;17/10/2014;;;42,21;;;29,58;;;0,51;;;30,11;;;11,84;;;;B;;
291;;;18/10/2014;;;33,59;;;28,5;;;0,5;;;28,78;;;11,26;;;;B;;
292;;;19/10/2014;;;37,26;;;28,42;;;0,5;;;29,62;;;11,13;;;;B;;
